product_id,short_description
294,96075,['flavoured&otheroils']
295,96076,['roastedseeds&nuts']
296,96077,['basmatirice']
297,96078,['creambiscuits&wafers']
298,96079,['shampoo&conditioner']
299,96080,['face&body']
300,96081,['flours&pre-mixes']
301,96082,['cookandserve']
302,96083,['gourmettea&teabags']
303,96084,['containerssets']
304,96085,"[""men'sdeodorants""]"
305,96086,['gourmettea&teabags']
306,96087,['choppers&graters']
307,96088,['blendedmasalas']
308,96089,['pork&ham']
309,96090,['toothpaste']
310,96091,['nursingtools']
311,96092,['containerssets']
312,96093,['chickensausages']
313,96094,['facecare']
314,96095,['facecare']
315,96096,['colddrinks']
316,96097,['coffee&pre-mix']
317,96098,['dustbins']
318,96099,['shampoo&conditioner']
319,96100,['glassware']
320,96101,['dinnersets']
321,96102,['ayurveda']
322,96103,['water&fridgebottles']
323,96104,['detergentbars']
324,96105,['teabags']
325,96106,['oats&porridge']
326,96107,"['cookies,biscotti,wafer']"
327,96108,['oats&porridge']
328,96109,['exoticvegetables']
329,96110,"['olive,jalapeno,gherkin']"
330,96111,['breakfast&snackmixes']
331,96112,['roastedseeds&nuts']
332,96113,['facecare']
333,96114,['muffins&cupcakes']
334,96115,['oats&porridge']
335,96116,['facecare']
336,96117,['facecare']
337,96118,['copperutensils']
338,96119,['eaudetoilette']
339,96120,['shampoo&conditioner']
340,96121,['toothpaste']
341,96122,"['pure,pomaceoliveoil']"
342,96123,['glassware']
343,96124,['shampoo&conditioner']
344,96125,['saladdressings']
345,96126,['exoticfruits']
346,96127,"['herbs,seasonings&rubs']"
347,96128,"['hummus,cheese,salsadip']"
348,96129,['cereal&granolabars']
349,96130,['toothpaste']
350,96131,['facecare']
351,96132,['shampoo&conditioner']
352,96133,['organicbabyfood']
353,96134,['wholespices']
354,96135,['hairoil&serum']
355,96136,['chilli&soyasauce']
356,96137,['dryfruits&berries']
357,96138,['organicmasalas&spices']
358,96139,['bowls&vessels']
359,96140,['petmeals&treats']
360,96141,['pork&ham']
361,96142,['othervegpickle']
362,96143,['diapers']
363,96144,['muesli']
364,96145,['frozenfish&seafood']
365,96146,['tomatoes&vegetables']
366,96147,"['flavoured,soyamilk']"
367,96148,['crackers&digestive']
368,96149,['dryfruits&berries']
369,96150,['kidscereal']
370,96151,['cereal&granolabars']
371,96152,['toiletcleaners']
372,96153,['cereals&millets']
373,96154,['juices']
374,96155,['internationalcheese']
375,96156,['toothpaste']
376,96157,"['cookies,biscotti,wafer']"
377,96158,['juices']
378,96159,['handwash&sanitizers']
379,96160,"['baking,cakedecorations']"
380,96161,['teabags']
381,96162,['roastedseeds&nuts']
382,96163,['dustcloth&wipes']
383,96164,['ayurveda']
384,96165,['bodycare']
385,96166,['saladdressings']
386,96167,['gourmettea&teabags']
387,96168,['thai&asiansauces']
388,96169,['tampons&menstrualcups']
389,96170,"['flavoured,soyamilk']"
390,96171,['ghee&vanaspati']
391,96172,['organicmasalas&spices']
392,96173,['granola&cerealbars']
393,96174,['steelstoragecontainers']
394,96175,"['flavoured,soyamilk']"
395,96176,['balsamic&cidervinegar']
396,96177,"[""men'sdeodorants""]"
397,96178,['pressurecookers']
398,96179,['bodycare']
399,96180,['granola&cerealbars']
400,96181,['nachos&chips']
401,96182,['dryfruits&berries']
402,96183,['shavingcare']
403,96184,['handwash&sanitizers']
404,96185,"['cups,mugs&tumblers']"
405,96186,['otherpoojaneeds']
406,96187,['hairremoval']
407,96188,['lipcare']
408,96189,['casserole']
409,96190,['facecare']
410,96191,['floor&othercleaners']
411,96192,['vacuumflask']
412,96193,['organicvegetables']
413,96194,"[""men'sdeodorants""]"
414,96195,['bodycare']
415,96196,['organicmasalas&spices']
416,96197,['kitchentools&otheraccessories']
417,96198,['chocolates']
418,96199,['shampoo&conditioner']
419,96200,['water&fridgebottles']
420,96201,"[""men'sdeodorants""]"
421,96202,['bodycare']
422,96203,['disinfectantspray&cleaners']
423,96204,['basmatirice']
424,96205,"['flavoured,soyamilk']"
425,96206,['choco&nutspread']
426,96207,['powderedspices']
427,96208,"[""men'sdeodorants""]"
428,96209,['steelstoragecontainers']
429,96210,"['beans,brinjals&okra']"
430,96211,['healthdrinks']
431,96212,"['caps,balloons&candles']"
432,96213,"['pen,pencils']"
433,96214,['facecare']
434,96215,['toiletcleaners']
435,96216,['plates&bowls']
436,96217,['containerssets']
437,96218,['organic&coldpressoil']
438,96219,['juices']
439,96220,['handwash&sanitizers']
440,96221,['namkeen&savourysnacks']
441,96222,['containerssets']
442,96223,['haircolor']
443,96224,['flours&pre-mixes']
444,96225,['toothpaste']
445,96226,['floor&othercleaners']
446,96227,['hairoil&serum']
447,96228,['facemasks&safetygears']
448,96229,['ayurveda']
449,96230,['basmatirice']
450,96231,['rootvegetables']
451,96232,['organicmasalas&spices']
452,96233,"['healthy,bakedsnacks']"
453,96234,['glassware']
454,96235,"['organicrice,otherrice']"
455,96236,['facecare']
456,96237,['water&fridgebottles']
457,96238,['eaudeparfum']
458,96239,['petmeals&treats']
459,96240,"['baking,cakedecorations']"
460,96241,['dessertmixes']
461,96242,['toilet&otherbrushes']
462,96243,['organicflours']
463,96244,['showergel&bodywash']
464,96245,['healthdrinks']
465,96246,"['currypaste,coconutmilk']"
466,96247,['talc']
467,96248,['cfl&ledbulbs']
468,96249,['breakfast&snackmixes']
469,96250,"['toffee,candy&lollypop']"
470,96251,['blendedmasalas']
471,96252,['hairoil&serum']
472,96253,['shampoo&conditioner']
473,96254,"['bathstool,basin&sets']"
474,96255,['creambiscuits&wafers']
475,96256,['bathingaccessories']
476,96257,['thai&asiansauces']
477,96258,['dustcloth&wipes']
478,96259,['colours&crayons']
479,96260,['facecare']
480,96261,['organicmasalas&spices']
481,96262,['mosquitorepellent']
482,96263,"['jams,marmalade,spreads']"
483,96264,['bodycare']
484,96265,['supplements&proteins']
485,96266,"['sunflower,ricebranoil']"
486,96267,['facemasks&safetygears']
487,96268,['powderedspices']
488,96269,['saladdressings']
489,96270,['ayurveda']
490,96271,['sexualwellness']
491,96272,['farmeggs']
492,96273,['facecare']
493,96274,['dryfruits&berries']
494,96275,['diapers']
495,96276,['kids(5+yrs)']
496,96277,['creambiscuits&wafers']
497,96278,"['cookies,biscotti,wafer']"
498,96279,['bathingbars&soaps']
499,96280,['shampoo&conditioner']
500,96281,['milk&soyadrinks']
501,96282,['ayurveda']
502,96283,['kitchentools&otheraccessories']
503,96284,['dryfruits&berries']
504,96285,"['utensilscrub-pad,glove']"
505,96286,['diapers']
506,96287,['facecare']
507,96288,['bathingbars&soaps']
508,96289,['blendedmasalas']
509,96290,['toothpaste']
510,96291,"['paneer,tofu&cream']"
511,96292,['roastedseeds&nuts']
512,96293,['roastedseeds&nuts']
513,96294,['handwash&sanitizers']
514,96295,"['jams,marmalade,spreads']"
515,96296,['powderedspices']
516,96297,['honey&maplesyrup']
517,96298,['ayurveda']
518,96299,['supplements&proteins']
519,96300,['blendedmasalas']
520,96301,['milk&soyadrinks']
521,96302,['exampads&pencilbox']
522,96303,['saltedbiscuits']
523,96304,['bodycare']
524,96305,"['healthy,bakedsnacks']"
525,96306,['haircare&styling']
526,96307,"['luxurychocolates,gifts']"
527,96308,['chikki&gajjak']
528,96309,['chilli&soyasauce']
529,96310,['pastas&spaghetti']
530,96311,"['marshmallow,candy,jelly']"
531,96312,['bakingtools&brushes']
532,96313,['babypowder']
533,96314,['bodycare']
534,96315,['glassware']
535,96316,['blendedmasalas']
536,96317,['bathingbars&soaps']
537,96318,['otherplasticware']
538,96319,['floor&othercleaners']
539,96320,"['healthy,bakedsnacks']"
540,96321,"['cookies,biscotti,wafer']"
541,96322,['colours&crayons']
542,96323,['tawa&saucepan']
543,96324,['granola&cerealbars']
544,96325,"['luxurychocolates,gifts']"
545,96326,['eaudetoilette']
546,96327,['facecare']
547,96328,"['pen,pencils']"
548,96329,['ayurveda']
549,96330,['glassware']
550,96331,"['olive,jalapeno,gherkin']"
551,96332,['shavingcare']
552,96333,['breakfast&snackmixes']
553,96334,['organicvegetables']
554,96335,['greentea']
555,96336,['bathingbars&soaps']
556,96337,['frozenfish&seafood']
557,96338,"[""men'sdeodorants""]"
558,96339,['ayurveda']
559,96340,"['cutlery,spoon&fork']"
560,96341,"['healthy,bakedsnacks']"
561,96342,['chilli&soyasauce']
562,96343,['bodysprays&mists']
563,96344,['toilet&otherbrushes']
564,96345,['toiletpaper']
565,96346,['flavoured&otheroils']
566,96347,['exotic&flavouredtea']
567,96348,"['mops,wipers']"
568,96349,"['notebooks,files,folders']"
569,96350,['mouthwash']
570,96351,['leaf&dusttea']
571,96352,['cocktailmixes']
572,96353,['intimatewash&care']
573,96354,['hair&scalptreatment']
574,96355,"['baking,cakedecorations']"
575,96356,"['pure,pomaceoliveoil']"
576,96357,['petmeals&treats']
577,96358,['blendedmasalas']
578,96359,['internationalcheese']
579,96360,['babyoil&shampoo']
580,96361,"['flavoured,soyamilk']"
581,96362,['facecare']
582,96363,['lunchboxes']
583,96364,['yogurt&shrikhand']
584,96365,"['currypaste,coconutmilk']"
585,96366,['internationalchocolates']
586,96367,"['organicsugar,jaggery']"
587,96368,['heat&eatreadymeals']
588,96369,"['luxurychocolates,gifts']"
589,96370,['roastedseeds&nuts']
590,96371,"['paneer,tofu&cream']"
591,96372,"['laundry,storagebaskets']"
592,96373,['eaudeparfum']
593,96374,['ayurveda']
594,96375,['freshsweets']
595,96376,['shavingcare']
596,96377,['tomatoketchup&sauces']
597,96378,['containerssets']
598,96379,['disinfectantspray&cleaners']
599,96380,['airfreshener']
600,96381,['chikki&gajjak']
601,96382,['chickensausages']
602,96383,['facecare']
603,96384,['facecare']
604,96385,"['cookies,biscotti,wafer']"
605,96386,"['healthy,bakedsnacks']"
606,96387,['shampoo&conditioner']
607,96388,['juices']
608,96389,['exotic&flavouredtea']
609,96390,['containerssets']
610,96391,"['hangers,clips&rope']"
611,96392,['bath&shower']
612,96393,['face&body']
613,96394,['gourmettea&teabags']
614,96395,"['bakerybiscuits,cookies']"
615,96396,"['bakerybiscuits,cookies']"
616,96397,['facecare']
617,96398,['water&fridgebottles']
618,96399,"['strainer,ladle,spatula']"
619,96400,['toothpaste']
620,96401,['babyfood']
621,96402,['shampoo&conditioner']
622,96403,['supplements&proteins']
623,96404,['organicdals&pulses']
624,96405,"['healthy,bakedsnacks']"
625,96406,['nachos&chips']
626,96407,['chocolates']
627,96408,['importednoodles']
628,96409,"['baking,cakedecorations']"
629,96410,['herbs&seasoning']
630,96411,"['aerated,still,sparkling']"
631,96412,['bathingbars&soaps']
632,96413,['ayurveda']
633,96414,['electronicaccessories']
634,96415,"['kitchen,glass&drain']"
635,96416,['glassware']
636,96417,"['currypaste,coconutmilk']"
637,96418,['gourmettea&teabags']
638,96419,['petmeals&treats']
639,96420,['cereal&granolabars']
640,96421,['wallhooks&hangers']
641,96422,['importedcleaners']
642,96423,['otherdryfruits']
643,96424,['cookingpastes']
644,96425,['instantnoodles']
645,96426,"[""women'sdeodorants""]"
646,96427,['instantnoodles']
647,96428,['pastas&spaghetti']
648,96429,['facecare']
649,96430,['containerssets']
650,96431,['eyecare']
651,96432,['othervegpickle']
652,96433,['importednoodles']
653,96434,"['baking,cakedecorations']"
654,96435,['airfreshener']
655,96436,['honey']
656,96437,"['scissor,glue&tape']"
657,96438,['quinoa&grains']
658,96439,['namkeen&savourysnacks']
659,96440,['steellunchboxes']
660,96441,['kitchentools&otheraccessories']
661,96442,"['tinned,packedsweets']"
662,96443,['showergel&bodywash']
663,96444,['lighters']
664,96445,['garbagebags']
665,96446,['petmeals&treats']
666,96447,['airfreshener']
667,96448,['toiletcleaners']
668,96449,['organicmasalas&spices']
669,96450,['granola&cerealbars']
670,96451,['everydaymedicine']
671,96452,['glassware']
672,96453,['lunchboxes']
673,96454,['soothers&teethers']
674,96455,['aromatherapy']
675,96456,['babyfood']
676,96457,['freshsweets']
677,96458,['muffins&cupcakes']
678,96459,['gourmettea&teabags']
679,96460,"[""men'sdeodorants""]"
680,96461,['chickensausages']
681,96462,['ayurveda']
682,96463,['healthdrinks']
683,96464,['airfreshener']
684,96465,['internationalcheese']
685,96466,['cut&peeledveggies']
686,96467,['powderedspices']
687,96468,['breakfast&snackmixes']
688,96469,['honey']
689,96470,['exampads&pencilbox']
690,96471,['ayurveda']
691,96472,['facecare']
692,96473,['containerssets']
693,96474,['electronicaccessories']
694,96475,['roastedseeds&nuts']
695,96476,['namkeen&savourysnacks']
696,96477,['organicdals&pulses']
697,96478,['mints&chewinggum']
698,96479,['containerssets']
699,96480,['nachos&chips']
700,96481,['cocktailmixes']
701,96482,['lunchboxes']
702,96483,['namkeen&savourysnacks']
703,96484,"['organicrice,otherrice']"
704,96485,['petmeals&treats']
705,96486,['ayurveda']
706,96487,['groundcoffee']
707,96488,['chips&cornsnacks']
708,96489,"['herbs,seasonings&rubs']"
709,96490,"['healthy,bakedsnacks']"
710,96491,['toothpaste']
711,96492,['buckets&mugs']
712,96493,['perfume']
713,96494,['facecare']
714,96495,['facecare']
715,96496,['dryfruits&berries']
716,96497,['lime&mangopickle']
717,96498,['facecare']
718,96499,"['toor,channa&moongdal']"
719,96500,['facecare']
720,96501,['urad&otherdals']
721,96502,"['laundry,storagebaskets']"
722,96503,['importednoodles']
723,96504,['eyes']
724,96505,['water&fridgebottles']
725,96506,['greentea']
726,96507,['kadai&frypans']
727,96508,['powderedspices']
728,96509,['containerssets']
729,96510,['cereal&granolabars']
730,96511,"['fabricpre,postwash']"
731,96512,['powderedspices']
732,96513,['blendedmasalas']
733,96514,['coffee&pre-mix']
734,96515,['cupnoodles']
735,96516,['petfeedingsupport']
736,96517,['glassware']
737,96518,"['flavoured,soyamilk']"
738,96519,['toothpaste']
739,96520,['internationalcheese']
740,96521,['petcleaning&grooming']
741,96522,['lunchboxes']
742,96523,['mouthwash']
743,96524,['perfume']
744,96525,['coffee&pre-mix']
745,96526,['supplements&proteins']
746,96527,['nonvegpickle']
747,96528,['hair&scalptreatment']
748,96529,['balsamic&cidervinegar']
749,96530,['babypowder']
750,96531,['facecare']
751,96532,['gourmettea&teabags']
752,96533,['hairremoval']
753,96534,['frozennon-vegsnacks']
754,96535,['organicdryfruits']
755,96536,['frozenfish&seafood']
756,96537,['hairoil&serum']
757,96538,['cut&peeledveggies']
758,96539,['greentea']
759,96540,['importedcleaners']
760,96541,['sanitarynapkins']
761,96542,['glassware']
762,96543,['organicmasalas&spices']
763,96544,['namkeen&savourysnacks']
764,96545,['dips&dressings']
765,96546,['bathsalts&oils']
766,96547,['bathingaccessories']
767,96548,['facecare']
768,96549,['mayonnaise']
769,96550,['bathingaccessories']
770,96551,"['chocolate,peanutspread']"
771,96552,['eyecare']
772,96553,['tawa&saucepan']
773,96554,['facemasks&safetygears']
774,96555,['handwash&sanitizers']
775,96556,['pastas&spaghetti']
776,96557,['gingellyoil']
777,96558,['organicdals&pulses']
778,96559,['ayurveda']
779,96560,['plates&bowls']
780,96561,"[""men'sdeodorants""]"
781,96562,['flours&pre-mixes']
782,96563,['thai&asiansauces']
783,96564,['supplements&proteins']
784,96565,['rice&otherflours']
785,96566,['juices']
786,96567,"['mops,wipers']"
787,96568,"['hummus,cheese,salsadip']"
788,96569,['honey&maplesyrup']
789,96570,['roastedseeds&nuts']
790,96571,['infantformula']
791,96572,['handwash&sanitizers']
792,96573,['granola&cerealbars']
793,96574,['exoticsugar&salt']
794,96575,"['cutlery,spoon&fork']"
795,96576,"[""men'sdeodorants""]"
796,96577,['cookingpastes']
797,96578,['glassware']
798,96579,['otherdryfruits']
799,96580,['shoepolish']
800,96581,['containerssets']
801,96582,"['cups,mugs&tumblers']"
802,96583,['greentea']
803,96584,"['papads,readytofry']"
804,96585,['facemasks&safetygears']
805,96586,['cookies']
806,96587,['buckets&mugs']
807,96588,['breakfast&snackmixes']
808,96589,"['mops,wipers']"
809,96590,['freshfish']
810,96591,['facecare']
811,96592,['frozenvegsnacks']
812,96593,['plates&bowls']
813,96594,['water&fridgebottles']
814,96595,['glassware']
815,96596,['namkeen&savourysnacks']
816,96597,['blendedmasalas']
817,96598,['flours&pre-mixes']
818,96599,['dustbins']
819,96600,['steelstoragecontainers']
820,96601,['bathingbars&soaps']
821,96602,['flavoured&otheroils']
822,96603,['facecare']
823,96604,['juices']
824,96605,['soups']
825,96606,['glassware']
826,96607,['organicvegetables']
827,96608,['babywipes']
828,96609,['face&body']
829,96610,"['baking,cakedecorations']"
830,96611,['frozenmutton']
831,96612,['facecare']
832,96613,['instantnoodles']
833,96614,['blendedmasalas']
834,96615,['syrups&concentrates']
835,96616,['sugar&jaggery']
836,96617,['steelstoragecontainers']
837,96618,['sanitarynapkins']
838,96619,['facecare']
839,96620,"['baking,cakedecorations']"
840,96621,['greentea']
841,96622,"['laundry,storagebaskets']"
842,96623,"['notebooks,files,folders']"
843,96624,['apples&pomegranate']
844,96625,['shampoo&conditioner']
845,96626,"['healthy,bakedsnacks']"
846,96627,['ayurveda']
847,96628,['facecare']
848,96629,['chocolates']
849,96630,"['cups,mugs&tumblers']"
850,96631,"['marshmallow,candy,jelly']"
851,96632,"['detergentpowder,liquid']"
852,96633,['bathingbars&soaps']
853,96634,"[""men'sdeodorants""]"
854,96635,"['detergentpowder,liquid']"
855,96636,['soups']
856,96637,['dustcloth&wipes']
857,96638,['cookies']
858,96639,['blendedmasalas']
859,96640,['shavingcare']
860,96641,['honey&maplesyrup']
861,96642,['kidscereal']
862,96643,['facecare']
863,96644,['gourmettea&teabags']
864,96645,['balsamic&cidervinegar']
865,96646,['facecare']
866,96647,['pastas&spaghetti']
867,96648,['shampoo&conditioner']
868,96649,"['pure,pomaceoliveoil']"
869,96650,"['jams,marmalade,spreads']"
870,96651,"['organicrice,otherrice']"
871,96652,['facecare']
872,96653,['cfl&ledbulbs']
873,96654,['butter&cream']
874,96655,['toothpaste']
875,96656,"[""men'sdeodorants""]"
876,96657,['babybath']
877,96658,"['healthy,bakedsnacks']"
878,96659,['wholespices']
879,96660,['kitchenrolls']
880,96661,['breakfast&snackmixes']
881,96662,"[""men'sdeodorants""]"
882,96663,['boiled&steamrice']
883,96664,['aromatherapy']
884,96665,['eaudetoilette']
885,96666,['kidscereal']
886,96667,['chips&cornsnacks']
887,96668,['airfreshener']
888,96669,"['healthy,bakedsnacks']"
889,96670,['disinfectantspray&cleaners']
890,96671,['boiled&steamrice']
891,96672,['blendedmasalas']
892,96673,['ayurveda']
893,96674,['extravirginoliveoil']
894,96675,['powderedspices']
895,96676,['facecare']
896,96677,"['healthy,bakedsnacks']"
897,96678,['toothpaste']
898,96679,['buckets&mugs']
899,96680,['breakfast&snackmixes']
900,96681,['muesli&ricecakes']
901,96682,['organicmasalas&spices']
