product_id,product_name,short_description
30,95811,Fruit Power - Masala Sugarcane,['juices']
31,95812,Chocobakes Choc Filled Cookies,"['bakerybiscuits,cookies']"
32,95813,Amber - Deodorant Body Spray,"[""men'sdeodorants""]"
33,95814,Green Tea - Tulsi Loose Leaf,['greentea']
34,95815,Pet Solitaire Container Set - Silver,['containerssets']
35,95816,Dhania - Dal,['wholespices']
36,95817,Pudina Chutney Masala,['blendedmasalas']
37,95818,Bodylicious Deodorant Spray - Mate (For Men),"[""men'sdeodorants""]"
38,95819,"Sport Deo Spray - Fresh, for Men","[""men'sdeodorants""]"
39,95820,Choco Deck - Mini Delights,['chocolates']
40,95821,Eau De Toilette - Homme Green,['eaudetoilette']
41,95822,Lemon & Tea Tree Oil Soap,['bathingbars&soaps']
42,95823,Flavoured Cream Wafer Roll - Strawberry,"['cookies,biscotti,wafer']"
43,95824,Storage/Lunch Steel Container with PP Lid - Red,['steellunchboxes']
44,95825,Plain Green Olives,"['olive,jalapeno,gherkin']"
45,95826,Quinoa - Organic,"['organicrice,otherrice']"
46,95827,After Shave Splash - Arctic Ice,['shavingcare']
47,95828,Colour Catcher Sheets,['importedcleaners']
48,95829,Sauce - Sweet & Sour,['thai&asiansauces']
49,95830,Super Hot and Sweet Mango Chutney,['chutneypowder']
50,95831,Pani Puri Mix Paste,['cookingpastes']
51,95832,Peach Syrup,['gourmetjuices&drinks']
52,95833,Acne & Oil Control Face Wash,['face&body']
53,95834,Choco Deck - French Dessert Inspired Layered Bar,['chocolates']
54,95835,Extra Fine Green Peas,['beans&pulses']
55,95836,Soothing Cucumber Facial Scrub With Apricot Seeds,['facecare']
56,95837,Foochka,"['papads,readytofry']"
57,95838,Argan-Liquid Gold Hair Spa,['hair&scalptreatment']
58,95839,"Baby Bed Protector - Sublimation Print, Pink",['babyhealth']
59,95840,Corporate Planner Diary With Premium PU Leather Cover With Card Holder,"['notebooks,files,folders']"
60,95841,"Atta Chalan - Stainless Steel, Size- No.8",['kitchentools&otheraccessories']
61,95842,Dog Supplement - Absolute Skin + Coat Tablet,['petmeals&treats']
62,95843,"Peanut Butter - Creamy, Super","['chocolate,peanutspread']"
63,95844,Sugar Free Petit Beurre - The Taste of France,"['marie,health,digestive']"
64,95845,Aqua Halo Rejuvenating Conditioner,['shampoo&conditioner']
65,95846,Ayurvedic Anti-Tan Face Pack,['facecare']
66,95847,Dog Supplement - Absolute Calcium Tablet,['petmeals&treats']
67,95848,Battery Power Kids Toothbrush - Barbie,['electrictoothbrush']
68,95849,Organic Carom Seeds/Ajwain/Om Kalu,['wholespices']
69,95850,"Padded Harness - 3/4 inch, Grey Colour",['petcollars&leashes']
70,95851,"Kids Motu Patlu Toothpaste - 2-5 Years, Bubble Fruit Flavour",['toothpaste']
71,95852,Pure & Gentle Face Wash,['facecare']
72,95853,Sesame Seed Oil,['aromatherapy']
73,95854,Til Dil Seeds,['roastedseeds&nuts']
74,95855,"Penta Plastic Pet Water Bottle - Green, Wide Mouth",['water&fridgebottles']
75,95856,Acne Pimple Kit For Acne & Pimple Removal,['facecare']
76,95857,"Disposable Bamboo Wood Skewer/Picker Sticks- For Barbeque, 12 Inch",['kitchentools&otheraccessories']
77,95858,& Moms Bathing Soap - Jasmine,['bathingbars&soaps']
78,95859,Amla Chatpata Dry Fruit,['dryfruits&berries']
79,95860,"Toothbrush Superhero Assorted, Batman/Spiderman",['toothbrush']
80,95861,Chips - Topica,['chips&cornsnacks']
81,95862,Cup a Soup - Croutons Cream of Asparagus,['importedsoups']
82,95863,Organic Dal - Masoor,['organicdals&pulses']
83,95864,Strawberry Ice Cream,['gourmeticecream']
84,95865,Exo Dishwash Bar- Round 700 gm Box + Pril Dishwash Liquid- Active 2X Lime 225 ml,['dishwashbars&powders']
85,95866,Jupiter Water/Juice Glass Tumbler,['glassware']
86,95867,"Cheese - Feta Greek, Block",['internationalcheese']
87,95868,Avida 3-in-1 Semi Economy Pouch -  FG01248,"['agarbatti,incensesticks']"
88,95869,Bathing Soap - Sandal & Turmeric,['bathingbars&soaps']
89,95870,Sweet Corn Kernels - Chipotle,['cut&peeledveggies']
90,95871,Ashwagandha Tablets,['ayurveda']
91,95872,Hard Anodised Ezee-Pour Saucepan With Lid - L88,['tawa&saucepan']
92,95873,Topp Up Milk - Elaichi,"['flavoured,soyamilk']"
93,95874,Namkeen - Madras Mixture,['namkeen&savourysnacks']
94,95875,"Stainless Steel Storage Lunch Container - Flat, Carry Snack Pack",['steelstoragecontainers']
95,95876,Oceans Deodorant for Men - Long Lasting & Fresh Aquatic Fragrance,"[""men'sdeodorants""]"
96,95877,Hair Remover Spray - Foam Lemon,['hairremoval']
97,95878,Mr. Magic Powder-To-Liquid Germ Protection Handwash Empty Bottle + Refill,['handwash&sanitizers']
98,95879,Frankincense Oil,['aromatherapy']
99,95880,"Wonder Diaper Pants - Xtra Large, 12-17 Kg",['diapers']
100,95881,Samrakshana Vaastu Deepa Thailam,['otheredibleoils']
101,95882,Quinoa - Organic Black,['quinoa&grains']
102,95883,Fructis Serum - Long & Strong,['shampoo&conditioner']
103,95884,Citrus Blast Orange Lemon Soap Free Body Wash,['showergel&bodywash']
104,95885,Veda Marie Light Biscuits,"['marie,health,digestive']"
105,95886,"2 Fold Umbrella - Auto-Open & Manual Close, Dark Violet",['umbrella']
106,95887,Aamras Mango Fruit Juice,['juices']
107,95888,Henna & Ginseng Anti Hair Loss Shampoo,['shampoo&conditioner']
108,95889,"Sandwich Toaster - Non-Stick, Gas",['kadai&frypans']
109,95890,"Baby Cereal - Ragi Almond & Banana, 6-8 Months, No Preservatives, No Artificial Colours",['babyfood']
110,95891,Incense Sticks - Sandal,"['agarbatti,incensesticks']"
111,95892,SPF 15 Sunscreen Lotion,['bodycare']
112,95893,Fenugreek,['organicmasalas&spices']
113,95894,Caramel Popcorn - Himalayan Salt,['gourmetpopcorn']
114,95895,Cold Pressed Bhringraj Cooling Oil For Hair Fall & Damage Control,['aromatherapy']
115,95896,Sapota - Organically Grown,['organicfruits']
116,95897,Spiced Tea - Blend Of 7 Refreshing Spices,['leaf&dusttea']
117,95898,"Steel Bowl/Vati/Katori - No. 4, Chutney",['bowls&vessels']
118,95899,"Adult Dry Cat Food - +1 Year, Ocean Fish",['petmeals&treats']
119,95900,Millet Rusk - Sweet,['rusks']
120,95901,"Stainless Steel Kadai - Induction Bottom With Glass Lid,  26 cm",['kadai&frypans']
121,95902,"Power Pocket - Long Lasting Bathroom Fragrance, Berry Rush",['airfreshener']
122,95903,Cabbage - Red,['cabbage&cauliflower']
123,95904,Marvel Spiderman 2-In-1 Snackeez Bottle With Snack Box,['lunchboxes']
124,95905,Refined Oil - Rice Bran (Natural Oryzanol & Vitamin E),"['sunflower,ricebranoil']"
125,95906,Premium Square Plastic Container - Green,['containerssets']
126,95907,Instant Popcorn - Butter Delite,['chips&cornsnacks']
127,95908,Cherry Lip Balm 4.5 g + Deep Nourish Elbow & Foot Cream 50 g,['lipcare']
128,95909,Nutrition Plus Health Supplement - Joint Support,['supplements&proteins']
129,95910,Glass Belleza Bowl - Wine,['glassware']
130,95911,Dark Fantasy - Choco Fills Biscuits - Cookies,['creambiscuits&wafers']
131,95912,Banana - Red,"['banana,sapota&papaya']"
132,95913,"Chilli - Bajji, Mild","['lemon,ginger&garlic']"
133,95914,I Love You Fruit N Nut Chocolate,['chocolates']
134,95915,Pitted Green Olives,"['olive,jalapeno,gherkin']"
135,95916,Glass Mixing Bowl With Lid - Polo,['glassware']
136,95917,Cake Gel,"['baking,cakedecorations']"
137,95918,Toffees - Excellence Assorted,['internationalchocolates']
138,95919,Organic Idly Podi - Ginger,['breakfast&snackmixes']
139,95920,Glass Water Bottle - Aquaria Organic Purple,['water&fridgebottles']
140,95921,Stainless Steel Pav Bhaji/Idli Oval Shaped Plate,['plates&tumblers']
141,95922,Organic Cow Ghee/Tuppa,"['organicedibleoil,ghee']"
142,95923,Dates/Kharjura - Deseeded,['otherdryfruits']
143,95924,Chutney - Sweet Mango Sliced (without Garlic),['lime&mangopickle']
144,95925,Turmeric Powder/Arisina Pudi,['powderedspices']
145,95926,Bread - Fruit,"['milk,white&sandwich']"
146,95927,Bombay Street Food Spice Blend,"['currypaste,coconutmilk']"
147,95928,Ragi Flakes,['flakes']
148,95929,Mustard Oil - Cold Pressed,['flavoured&otheroils']
149,95930,Juice/Water Glass - Long Drink Nord,['glassware']
150,95931,Glass Amaze Air Tight Jar - Pink,['glassware']
151,95932,"Finger Brush For Kids - Blue, Ultra Soft",['toothbrush']
152,95933,Water/Juice Glass  - Jupiter Long Glass,['glassware']
153,95934,Energy Bar - Choco Crunch,"['healthy,bakedsnacks']"
154,95935,Breeze - Razor Blades,['hairremoval']
155,95936,"Confeito Vermicelli Combo, Sprinkles","['baking,cakedecorations']"
156,95937,Olive Oil - Classic,"['pure,pomaceoliveoil']"
157,95938,"Octa Plastic Pet Water Bottle - Light Blue, Narrow Mouth",['water&fridgebottles']
158,95939,Skin Cream,['facecare']
159,95940,One Touch Air Purifier Freshener - Floral Bouquet Refill,['airfreshener']
160,95941,Water/Juice Glass,['glassware']
161,95942,Color Naturals Creme Riche Ultra Hair Color - Raspberry Red,['haircolor']
162,95943,Nomarks - Antimarks Soap For Oily Skin,['bathingbars&soaps']
163,95944,"Silver Needles Tulsi White Tea Bags - Rich In Antioxidants, Pure Tea Buds",['gourmettea&teabags']
164,95945,Baby Napkins - Mini Terry,['bibs&napkins']
165,95946,"Printed Fabric Pencil Pouch - Purple, BB1263DPPL",['exampads&pencilbox']
166,95947,Snacks - Roasted Mixture Lime,"['healthy,bakedsnacks']"
167,95948,Organic Dosa Mix - Jowar,['breakfast&snackmixes']
168,95949,Lunch Box/Tiffin Set - Green BB 570 2,['lunchboxes']
169,95950,BCAA Energy Drink - Berry Flavour,['sports&energydrinks']
170,95951,Coffee Energizing Face Scrub,['facecare']
171,95952,Pain Relief - Oil,['hairoil&serum']
172,95953,Ultra Soft New Born Diapers - Extra Small,['diapers']
173,95954,Jungle Stimulating Facial Cleanser,['facecare']
174,95955,Ylang Ylang Essential Oil,['aromatherapy']
175,95956,Clear Glycerine Soap - Natural Toning (Tea Tree Oil & Honey),['bathingbars&soaps']
176,95957,Soap,['bathingbars&soaps']
177,95958,Yellow Balm,['everydaymedicine']
178,95959,"LED Bulb - 12 Watt, Cool Daylight, B22 Base",['cfl&ledbulbs']
179,95960,Coriander Leaves 100 g + Garlic 250 g + Ginger 250 g + Chilli Green Long 250 g,['indian&exoticherbs']
180,95961,Jaggery/Bella Powder - Pesticide Free,['sugar&jaggery']
181,95962,Ready Masala - Kashmiri Meat,['blendedmasalas']
182,95963,"Water Saving Aerator, Switch","['kitchen,glass&drain']"
183,95964,Lemongrass Anti-Pigmentation Massage Cream,['facecare']
184,95965,Breakfast Mix - Finger Millet Ragi Idli,['breakfast&snackmixes']
185,95966,Herbal Wine Grapefruit Lip Balm,['lipcare']
186,95967,Masala Upma,['heat&eatreadymeals']
187,95968,Maharishi Ayurveda Ayush Kwath,['ayurveda']
188,95969,Svachh Nakshtra Steel Inner Lid Pressure Cooker (20257),['pressurecookers']
189,95970,Chicken Liver Gourmet Loaf With Pumpkin - Super Food,['petmeals&treats']
190,95971,Bath & Body Oil - Oriental Spicy Rose,['aromatherapy']
191,95972,"Specialist Skin Care Oil - Scars, Stretch Mark, Ageing, Uneven Skin Tone",['bodycare']
192,95973,Brioche,['gourmetbread']
193,95974,Onion - Rings,"['healthy,bakedsnacks']"
194,95975,Cotton Mop With Telescopic Handle 150 Cm,"['mops,wipers']"
195,95976,Kale,['organicvegetables']
196,95977,"Notebook - Unruled, Long","['notebooks,files,folders']"
197,95978,Instant Noodles - Soy & Vinegar,['importednoodles']
198,95979,Gluten-Free Quinoa Flour,['flours&pre-mixes']
199,95980,"Chikki, Peanut Bar",['chikki&gajjak']
200,95981,1001 Nights Concentrated Oriental Perfume Free From Alcohol For Unisex,['attar']
201,95982,Man - Indigo Body Mist,['bodysprays&mists']
202,95983,Fields Of Gold Organic Cumin - Whole,['organicmasalas&spices']
203,95984,Body Massage Oil - Energising,['aromatherapy']
204,95985,Synthetic Food Colour Preparation Lemon Yellow,['homebaking']
205,95986,"Toothpaste - Gum Care, Expert Protection",['toothpaste']
206,95987,Bio Myristica Spot Correcting Anti Acne Face Pack,['facecare']
207,95988,"Stainless Steel Frying Ladle - No. 9, Silvera","['strainer,ladle,spatula']"
208,95989,OvenOrg Multi Millet Rusk,['rusks']
209,95990,Mahabhringraj Tel - Hairfall Reduction & Dandruff Control,['ayurveda']
210,95991,Masterchefs Germ Protection Liquid Handwash Refill,['handwash&sanitizers']
211,95992,Black Naturals Hair Colour Shade 1-Deep Black 20 ml + 20 gm,['haircolor']
212,95993,Apple Cider Vinegar - Raw Unfiltered Unpasteurized with Cinamon & Honey,['balsamic&cidervinegar']
213,95994,"Brinjal - Varikatri, Organically Grown",['organicvegetables']
214,95995,Wonderz Milk Shakes - Classic Vanilla,"['flavoured,soyamilk']"
215,95996,Marie Light Biscuits - Oats Fibre,"['marie,health,digestive']"
216,95997,Masala - Chicken,['blendedmasalas']
217,95998,Dark Chocolate- 55% Rich In Cocoa,['chocolates']
218,95999,Gentle Baby Wipes,['babywipes']
219,96000,Avocado,['exoticfruits']
220,96001,Plastic Dustbin - Beige,['dustbins']
221,96002,"Pineapple - Chunks, Single Serve","['cutfruit,tendercoconut']"
222,96003,Jeera Powder,['powderedspices']
223,96004,Pure Neem Skin Purifying Face Wash,['facecare']
224,96005,Lemon - Organically Grown,['organicvegetables']
225,96006,Lavender & Vanilla Handmade Luxury Soap,['bathingbars&soaps']
226,96007,"Stainless Steel Pressure Cooker - Steeltuff, Induction Base, Silver",['pressurecookers']
227,96008,"Steel Deep Dabba/Storage Container - No. 12, Plain",['steelstoragecontainers']
228,96009,Chyawan Fit Sugarfree Chyawanprash - Natural Immunity Booster,['supplements&proteins']
229,96010,Morning Dew Perfumed Talc 250 g + English Lavender Perfumed Talc 250 g,['talcumpowder']
230,96011,"Energy Bars - Nutty, 4+ Years, 100% Natural & Healthy",['chocolates']
231,96012,Banana Stem - Diced,['cut&peeledveggies']
232,96013,Chilli Flakes,"['herbs,seasonings&rubs']"
233,96014,Bite & Sip Flask And Lunch Box/Tiffin Box - Green Colour,['lunchboxes']
234,96015,Namkeen - Khara Boondi,['namkeen&savourysnacks']
235,96016,Raw Seeds - Sunflower Pumpkin Flax Seeds,['roastedseeds&nuts']
236,96017,"Garnet LED White Bulb - 14 Watt, Cool Day, B22",['cfl&ledbulbs']
237,96018,Tempeh Cubes - Simply Sriracha Soyabean,"['paneer,tofu&cream']"
238,96019,Green Tea Gentle Detox Set,['bodycare']
239,96020,Fresh Catch Fish Fingers,['frozenfish&seafood']
240,96021,Sour Cream & Onion,['nachos&chips']
241,96022,Xylitol Powder,['exoticsugar&salt']
242,96023,Sixer Biscuits - Salted,['saltedbiscuits']
243,96024,"Gokshuradi Guggulu - Urinary Disorders, 500mg",['ayurveda']
244,96025,Peach Shine Lip Care,['lipcare']
245,96026,Skincare Hand Wash Refill,['handwash&sanitizers']
246,96027,4mm Aluminium Induction Base Chapati Roti Tawa - Silver,['tawa&saucepan']
247,96028,Mix - Rava Idli,['breakfast&snackmixes']
248,96029,Impress Concentrated Perfume Free From Alcohol For Male,['attar']
249,96030,Skin Awakening Rinse,['facecare']
250,96031,Pacific Steel Insulated Vacuum Flask,['vacuumflask']
251,96032,Regenerist - Advanced Anti-Ageing Revitalising Hydration Skin Cream Moisturizer SPF 15,['facecare']
252,96033,Cotton Swabs,['cotton&earbuds']
253,96034,"Tropical Fruit Pudding - Lychee, Mango, Strawberry Flavoured","['marshmallow,candy,jelly']"
254,96035,Pippali Fruit Powder - Supports Healthy Digestive & Immune System,['ayurveda']
255,96036,Salt & Peeper Shaker Masala Dabbi With Window,['kitchentools&otheraccessories']
256,96037,Organic - Triphala Powder,['organicmasalas&spices']
257,96038,Aeda Glycerine Bathing Bar - Natural Green,['bathingbars&soaps']
258,96039,Chicken Cocktail Sausage,['chickensausages']
259,96040,Sun Expert Fairnes Sunscren Lotion SPF 30 PA++,['bodycare']
260,96041,Cotton Pads,['cotton&earbuds']
261,96042,Ashwagandha Powder,['healthdrinks']
262,96043,Frozen - Mixed Vegetables,['frozenvegetables']
263,96044,Masala - Kitchen,['blendedmasalas']
264,96045,Mustard/Sasive/Rai - Big,['wholespices']
265,96046,Ayurvedic Soap,['bathingbars&soaps']
266,96047,"Glass Matt Finish Bottle With Plastic Cap - Blue, BB1324",['water&fridgebottles']
267,96048,Perfume - Youth Dew EDP Spray,['eaudeparfum']
268,96049,Organic Idly - Oats,['breakfast&snackmixes']
269,96050,Red Curry,"['currypaste,coconutmilk']"
270,96051,Hareli Kitchen Jar,['glassware']
271,96052,Heavy Starch - Lemon Fresh Scent,['importedcleaners']
272,96053,United Dreams Go Far Eau De Toilette,['eaudetoilette']
273,96054,Ayurvedic Jamun Powder,['ayurveda']
274,96055,So Soft 2 Ply Face Tissue Box,"['papernapkin,tissuebox']"
275,96056,"Pomegranate - Single Serve, Peeled","['cutfruit,tendercoconut']"
276,96057,Stevia Spoonable - Powder,['exoticsugar&salt']
277,96058,Toor/Arhar Dal,"['toor,channa&moongdal']"
278,96059,Peristaltic Nipple - 'S' Hole,['sippers&bottles']
279,96060,Fragrance Body Spray - Cool Blue,"[""men'sdeodorants""]"
280,96061,Vitamin C Brightening Peel Off Mask,['facecare']
281,96062,Almond & Rose Soap Value Pack,['bathingbars&soaps']
282,96063,Yippee Noodles - Magic Masala,['instantnoodles']
283,96064,Fields Of Gold Organic Foxtail Millet,['cereals&millets']
284,96065,Arrabbiata Tomato Pasta Sauce With Chilli,['mustard&cheesesauces']
285,96066,"Wood - Centre Filled Bar Infused With Dark Mousse, Cinnamon & Coffee",['chocolates']
286,96067,Basil Seed Drink - Orange,['gourmetjuices&drinks']
287,96068,Solution Anti Blackhead/Whitehead Masksheet (Pack of 10),['facecare']
288,96069,Acno Fight Pimple Clearing Gel,['face&body']
289,96070,Pork Classic Salami,['pork&ham']
290,96071,Gold Flash - Mosquito Repellent Combo Machine & Refill,['mosquitorepellent']
291,96072,Stainless Steel Airtight Storage Container - SL-1401,['steelstoragecontainers']
292,96073,Whisky Cocktail Mixers - 100% Natural,['gourmetjuices&drinks']
293,96074,Family Sunscreen Lotion SPF 25,['facecare']
294,96075,Japanese Cooking Rice-Wine,['flavoured&otheroils']
295,96076,Coated Green Peas - Wasabi,['roastedseeds&nuts']
296,96077,Charminar Basmati Rice/Basmati Akki - Select,['basmatirice']
297,96078,Hide & Seek Choco Rolls,['creambiscuits&wafers']
298,96079,"Hair Fall Control Kit - Oil, Shampoo & Serum",['shampoo&conditioner']
299,96080,"Anti-Acne Face Cleanser - With Salyclic Acid, For Oily Skin",['face&body']
300,96081,Gluten-Free Moong Dal Cheela/Dosa Mix,['flours&pre-mixes']
301,96082,Milk Boiler - Aluminium,['cookandserve']
302,96083,"Green Tea - Pure, Bio-Degradable",['gourmettea&teabags']
303,96084,Cube Storage Glass Jar,['containerssets']
304,96085,M1 Perfume Spray - For Men,"[""men'sdeodorants""]"
305,96086,Tulsi Mulethi Green Tea,['gourmettea&teabags']
306,96087,Nicer Dicer,['choppers&graters']
307,96088,Masala - Punjabi Chhole,['blendedmasalas']
308,96089,"Pork - Fresh Bacon, Sliced",['pork&ham']
309,96090,Active Salt Toothpaste Saver Pack 300g + Sensitive Soft Bristles Toothbrush 4pcs,['toothpaste']
310,96091,Silicone Feeding Nipple/Teat Regular Neck - Size XL,['nursingtools']
311,96092,"Microwaveable Plastic Multiutility Bowl - Yellow, New Coral, L2272 YL",['containerssets']
312,96093,Chicken Jalapeno Cheese Nuggets,['chickensausages']
313,96094,Milk Delights Face Wash With Honey For Dry Skin,['facecare']
314,96095,Instaglow Oxygen Bleach,['facecare']
315,96096,Soft Drink - Lime Flavoured,['colddrinks']
316,96097,Coffee Creamer - Coffee-Mate,['coffee&pre-mix']
317,96098,Royce Premium High Quality Pedal Plastic Dustbin / Garbage Bin - Blue,['dustbins']
318,96099,Khaas Shampoo Bar - Heena Amla,['shampoo&conditioner']
319,96100,Bubble Glass,['glassware']
320,96101,Dazzle Livid Lilac Dinner Set - White,['dinnersets']
321,96102,Dhanwantharam Kwath,['ayurveda']
322,96103,Suzzan Glass Bottle With Blue Cap,['water&fridgebottles']
323,96104,Henko Detergent Bar - Stain Care 250 gm + Mr. White Detergent Powder 1 kg Pouch,['detergentbars']
324,96105,Tea - English Breakfast,['teabags']
325,96106,Rolled Oats - Gluten Free + Gluten Free - Steel Cut Oats (each 500 g),['oats&porridge']
326,96107,"Wafer Roll - Twister, Black With Vanilla Flavoured Cream","['cookies,biscotti,wafer']"
327,96108,Steel Cut Oats,['oats&porridge']
328,96109,Zucchini - Green,['exoticvegetables']
329,96110,Green Sliced Olives,"['olive,jalapeno,gherkin']"
330,96111,Ready To Eat - Khatta Meetha Poha,['breakfast&snackmixes']
331,96112,Roasted Soyanuts - Wasabi,['roastedseeds&nuts']
332,96113,Radiance Boost Orange Aroma Mask,['facecare']
333,96114,Muffin/Cup Cake Vanilla 200 g + Choco Chip 200 g (Pack of 4 each),['muffins&cupcakes']
334,96115,Masala Oats - Veggie Twist,['oats&porridge']
335,96116,Sunscreen Cream - Sunblock Anti Aging SPF UV 60,['facecare']
336,96117,Sunblock Lotion,['facecare']
337,96118,Copper Water Fliptop Bottle - Stripes,['copperutensils']
338,96119,For Men Evolution Eau De Toilette,['eaudetoilette']
339,96120,"Long & Black Shampoo - With Goodness Of Amla & Bhringraj, For Shiny, Black Hair",['shampoo&conditioner']
340,96121,Toothpaste - Complete Care,['toothpaste']
341,96122,Olive Oil - Pomace,"['pure,pomaceoliveoil']"
342,96123,Glass Set - Solo Shot Bar,['glassware']
343,96124,Bonacure Conditioner - Repair Rescue,['shampoo&conditioner']
344,96125,Vegan Chipotle Mayo - Dairy-Free,['saladdressings']
345,96126,Blueberry,['exoticfruits']
346,96127,"Oregano - Organic, USDA Certified","['herbs,seasonings&rubs']"
347,96128,Chunky Salsa - Mild,"['hummus,cheese,salsadip']"
348,96129,Multigrain Energy Bar - Nuts n Seed,['cereal&granolabars']
349,96130,Active Fresh Gel Toothpaste,['toothpaste']
350,96131,Hydro Replenish Radiance Day Crème with SPF 15,['facecare']
351,96132,Anti-Hair Fall Shampoo,['shampoo&conditioner']
352,96133,"Cereal - Ragi, Rice & Mango With Milk",['organicbabyfood']
353,96134,Fenugreek/Methi/Menthya,['wholespices']
354,96135,Hair Spa Oil Therapy,['hairoil&serum']
355,96136,"Sauce - Bhut Jolokia, Sweet Chilli",['chilli&soyasauce']
356,96137,Dry Fruit Mixed Chatpata,['dryfruits&berries']
357,96138,Organic Coriander Powder,['organicmasalas&spices']
358,96139,Stainless Steel Induction Base Tope,['bowls&vessels']
359,96140,"Adult Cat Food Pocket Tuna 7 kg + Wet Meal Tuna In Jelly, for Adult Cat 1.02 kg",['petmeals&treats']
360,96141,"Pork - Mortadella with Olives, Sliced",['pork&ham']
361,96142,Andhra Special Allam/Ginger Pickle,['othervegpickle']
362,96143,New Dry Diapers - Medium,['diapers']
363,96144,Fruit N Fibre Muesli - Mixed Fruit,['muesli']
364,96145,Basa Fish - Fillet Family Pack,['frozenfish&seafood']
365,96146,Baby Corn - Sweet & Sour,['tomatoes&vegetables']
366,96147,Kool - Badam,"['flavoured,soyamilk']"
367,96148,Creamy Crackers - Original,['crackers&digestive']
368,96149,Dried - Cranberries 200G + Prunes 200G + Apricots  200G + Blueberries 150G,['dryfruits&berries']
369,96150,Milly Magic Chocolate Balls - Gluten Free,['kidscereal']
370,96151,Millet Based Nutrition Bar - Classic,['cereal&granolabars']
371,96152,"Bathroom Cleaner - Liquid, Hand Made",['toiletcleaners']
372,96153,Kodo Millet Rice - Pesticide Free,['cereals&millets']
373,96154,Amla Juice,['juices']
374,96155,Cheddar - English,['internationalcheese']
375,96156,Power - Fresh Breath Fluoride Toothpaste 100 g + Sensitive Toothpaste 80 g,['toothpaste']
376,96157,"Matcha Moringa Bar Bites - Mini, Gluten-free, Vegan","['cookies,biscotti,wafer']"
377,96158,Sugar Free Juice - Lemon Ginger Squash,['juices']
378,96159,Wipeout Germ Killing Soap,['handwash&sanitizers']
379,96160,Jelly Crystal - Raspberry,"['baking,cakedecorations']"
380,96161,Black Tea,['teabags']
381,96162,Grainy Delight,['roastedseeds&nuts']
382,96163,"Kitchen Cleaning/Dusting Microfibre Cloth - Grey, G130060GR",['dustcloth&wipes']
383,96164,Amla Churna,['ayurveda']
384,96165,Professional Herbal Orange Facial Massage Cream,['bodycare']
385,96166,Eggless Mayonnaise Dip,['saladdressings']
386,96167,Nilgiri Green Tea - Yakuso Tulsi,['gourmettea&teabags']
387,96168,"Peri Peri Sauce - Bird Eye Chili, Hot & Tangy",['thai&asiansauces']
388,96169,"Menstrual Cup - Wings, Pratham",['tampons&menstrualcups']
389,96170,Wonderz Milk Fruit N Milk - Mango,"['flavoured,soyamilk']"
390,96171,Cow Ghee/Tuppa,['ghee&vanaspati']
391,96172,"Organic - Black Cardamom Ealachi, Whole",['organicmasalas&spices']
392,96173,Ultimate Choco Berry,['granola&cerealbars']
393,96174,Steel Belly Shape Storage Dabba/ Container Set With PP Lid - Silver & Blue,['steelstoragecontainers']
394,96175,Kool - Koko,"['flavoured,soyamilk']"
395,96176,"Apple Cider Vinegar - With Mother, Unfiltered & Unpasteurized",['balsamic&cidervinegar']
396,96177,Dare Deodorant Spray - Men,"[""men'sdeodorants""]"
397,96178,Svachh DLX Alpha Steel Outer Lid Pressure Cooker (20247),['pressurecookers']
398,96179,Hydrating Body Lotion,['bodycare']
